NU_INSCRICAO,TP_SEXO,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,MEDIA_GERAL
210058121269,Feminino,5,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,C,B,4,0
210061498463,Feminino,2,Branca,Não respondeu,NA,NA,1,1,1,1,437.8,483.6,474.4,457.1,620,E,E,B,B,3,494.58
210059269139,Feminino,8,Parda,Não respondeu,NA,NA,1,1,1,1,535.5,553.7,542.1,508.3,560,F,E,D,F,5,539.9200000000001
210060637146,Feminino,8,Parda,Não respondeu,NA,NA,1,1,1,1,512.3,500.8,484.7,500.5,660,E,E,F,A,4,531.66
210061511195,Masculino,8,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,D,E,C,B,1,0
210059931581,Feminino,10,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,C,C,B,B,4,0
210058113020,Feminino,2,Parda,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,H,E,B,B,6,0
210060597424,Masculino,5,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,B,A,A,3,0
210058548470,Feminino,3,Parda,Pública,Ensino Regular,Privada,1,1,1,1,526.4,552.3,500.8,425.8,680,C,B,A,B,5,537.06
210059513920,Feminino,4,Parda,Não respondeu,NA,NA,1,1,1,1,575.1,650.2,663.6,629.3,900,E,F,D,B,4,683.64
210059680398,Feminino,2,Parda,Não respondeu,NA,NA,1,1,1,1,388.6,428.1,432.2,412.4,480,C,C,D,A,4,428.26
210058177362,Feminino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,430.4,618.2,542.4,425,340,E,E,C,D,6,471.2
210058649880,Feminino,2,Parda,Não respondeu,NA,NA,1,1,1,1,576.8,597.9,592.9,621.7,600,C,D,C,B,4,597.86
210061939452,Feminino,2,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,399.1,399.1,501.9,360.1,560,B,E,A,A,5,444.04
210059014649,Feminino,7,Parda,Não respondeu,NA,NA,1,1,1,1,543.4,464.8,540.5,588.8,660,A,B,A,A,3,559.5
210061074509,Feminino,11,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,B,B,5,0
210061550370,Feminino,5,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,C,E,C,B,2,0
210058661055,Masculino,6,Preta,Pública,Ensino Regular,NA,1,1,1,1,414.8,480.9,477.5,525.3,280,H,D,C,B,5,435.7
210059648500,Feminino,1,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,A,A,B,8,0
210059873277,Masculino,5,Branca,Não respondeu,NA,NA,1,1,1,1,419.5,437.6,445.4,371.5,560,D,E,A,A,1,446.8
210060351255,Masculino,3,Preta,Pública,Ensino Regular,NA,1,1,1,1,491.5,480.2,415,383.9,0,B,E,B,B,2,354.12
210059084069,Masculino,6,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,G,F,D,2,0
